"Average of U.S. metro areas of 1,000,000 to 2,499,999","Detroit-Warren-Livonia, MI Metro Area","Austin-Round Rock-San Marcos, TX Metro Area","Birmingham-Hoover, AL Metro Area","Buffalo-Niagara Falls, NY Metro Area","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","Cincinnati-Middletown, OH-KY-IN Metro Area","Cleveland-Elyria-Mentor, OH Metro Area","Columbus, OH Metro Area","Hartford-West Hartford-East Hartford, CT Metro Area","Indianapolis-Carmel, IN Metro Area","Jacksonville, FL Metro Area","Kansas City, MO-KS Metro Area","Las Vegas-Paradise, NV Metro Area","Louisville/Jefferson County, KY-IN Metro Area","Memphis, TN-MS-AR Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","New Orleans-Metairie-Kenner, LA Metro Area","Oklahoma City, OK Metro Area","Orlando-Kissimmee-Sanford, FL Metro Area","Pittsburgh, PA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area","Providence-New Bedford-Fall River, RI-MA Metro Area","Raleigh-Cary, NC Metro Area","Richmond, VA Metro Area","Rochester, NY Metro Area","Sacramento--Arden-Arcade--Roseville, CA Metro Area","Salt Lake City, UT Metro Area","San Antonio-New Braunfels, TX Metro Area","San Jose-Sunnyvale-Santa Clara, CA Metro Area","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"
866.5162806,"2,553.5",242.8814787,611.0949,,1077.515158,505.3931673,1933.392564,1209.972709,1128.9851,430.6399542,2007.075,1267.727848,,567.2865,994.7106568,575.9856248,757.8585185,58.45631092,229.1864371,1539.995086,1212.103584,199.8620888,2995.591313,126.1312,939.6372566,204.0944,2529.094358,,150.2051591,170.0251143,2330.58693
811.0913603,"2,324.5",137.0592199,113.6072015,76.29200681,369.7895228,577.2441309,1730.479386,2545.218086,184.6104,48.1008735,454.4746769,1316.1899,,147.36432,103.0780995,995.8031473,819.3208305,26.9883,500.4702966,937.2118928,1309.661705,1453.264104,2023.507186,230.7846896,653.7408593,993.2146466,1335.270076,490.4445,125.054249,299.5519,4334.944602
1002.58394,"2,471.3",1490.033183,117.1679724,105.0163116,285.5717984,592.6612356,2025.485338,1020.237989,107.8094,670.3897631,792.8005581,519.7789606,,598.5294855,244.7479904,497.1916667,371.7036515,2347.938432,2858.844149,527.5669714,2244.871538,644.0964274,1268.386353,564.4028726,91.35833577,1385.941709,439.8867602,4049.526845,137.6646339,,4077.907879
808.8162537,"2,495.1",327.0300663,133.0523403,399.8815541,129.5360991,957.9213418,2751.823769,901.9462909,166.543605,1749.720796,,1122.447117,,55.73122176,66.5393,225.0907596,492.9715076,2540.434518,,983.8367238,1184.900039,88.36344092,2401.273856,312.6427,109.3344598,618.2300843,72.3564,2100.391775,157.1723,1469.6823,2745.633247
1505.304033,"2,459.6",949.7458713,103.7346898,659.598554,361.6027604,332.8071011,2819.81598,2467.06095,184.6826,1937.127603,599.1816,1293.586003,9.2485,868.1429647,107.7626961,709.9120613,568.8628905,999.4117794,67.55617962,1319.323303,1153.282646,56.6864379,10093.67905,148.5177101,40.60799315,1538.832502,2152.662305,1914.985877,892.6075177,7700.670556,3107.424303
1090.890308,"2,058.9",1910.406556,295.6808952,722.8728156,196.2291833,2499.714885,834.7860382,299.4707358,,68.6988493,164.8987387,96.81921692,,1355.135392,85.38430165,1237.247256,995.7514974,1325.503297,522.4499,785.7261287,632.111131,,7289.316649,121.5714,73.1806,91.75913992,754.6613923,,1579.544473,5145.948072,3641.840687
1005.976041,"1,688.9",1311.897933,151.5268245,1554.5504,,1570.69149,538.5180128,831.3590013,342.5448,106.1801,75.415,54.90249993,,454.6433161,221.4148295,1261.489877,1890.189355,1383.189719,429.5139218,1120.2752,1930.481665,60.3542054,8549.712154,163.6235419,53.08416404,1433.3725,763.6974,,469.5827014,1297.844444,2159.226183
708.851942,"1,221.7",397.5927059,271.4625,722.3730674,,4468.789158,557.2509119,3846.0593,,1118.892568,47.31901924,69.7493,,436.5530813,,1402.364377,767.7084215,1606.484415,,103.9207,943.5713631,11.662,1077.603577,127.6438083,71.5567,82.61956264,532.6093642,0,598.2243005,,2003.548059
526.6717363,"1,349.2",532.463244,,124.5622,80.37992698,199.9249192,618.1202769,1770.877424,642.446,77.0198211,159.0333858,54.52218701,,103.3461,151.9818258,642.1550222,2432.330965,1202.677864,24.8327,578.5685152,1252.090255,,766.5522674,,59.43188398,100.6456695,517.404703,15.92087517,351.8218534,,3341.042205
618.9478207,"1,624.4",93.29335742,228.5796143,,248.8000897,197.1696405,879.7451231,733.7169574,694.1249493,,3.2619,187.8314561,,131.485449,,110.016,1468.627899,1339.5373,381.9621,573.9291299,685.0546464,2188.27206,172.6936,,83.42838544,614.2301088,1837.961971,529.9828,1536.46091,,3648.269174
474.1428557,"1,635.6",,110.9465699,,332.9613,1837.184119,329.8445713,238.5309414,,56.00486623,,930.7461155,,,43.85420755,,1629.825558,238.7801766,86.96439812,494.2036,1215.5986,3148.872382,,113.5229,,57.1189,466.4752553,51.0996,1186.681029,,1655.070581
281.4303339,503.5,63.652,20.5681,,,1027.284324,453.9960428,266.376821,664.6919243,,,206.2298453,,425.4847042,49.5808,,253.2879956,1348.044917,,,297.9097267,27.90110709,,51.3214,163.2539506,53.9341,73.2498,,788.4577495,,2207.684709
379.8699962,827.5,,234.3271037,71.7361,34.2104,1766.668111,229.6601336,,,,1148.069671,63.7382,,38.51324824,72.49185987,78.8984,195.0449973,420.2815776,15.9689,1015.045685,176.9443363,599.6601,,54.2334,,437.879,346.4236,,98.62558365,,4297.67948
491.4023761,753.3,21.3284,161.947964,,,534.7730943,480.4626876,86.9124,1009.5465,51.25757192,1854.704074,31.1549,,39.55338813,671.8967838,207.8086,41.8209859,1182.6194,206.6691,1198.179102,2904.801354,79.7116,632.1921,,309.5758906,,591.159,,60.92832291,,2383.068062
444.424476,610.2,51.69412417,76.3189,,66.7251,154.5504454,277.046389,,,303.2378296,743.6976558,,,70.60842768,71.66705724,,75.51440758,173.848943,1303.8523,,916.1035287,,2423.527932,51.5211,43.19535209,2290.893614,419.3668362,,115.9234,,3703.440938
297.2321398,764.4,37.9214,42.3594,,,,609.5149959,64.53911936,,336.6361,1004.1427,,,,,,112.881452,,624.7170803,829.1273997,253.1319878,,2011.7142,,26.20514617,61.1892822,471.0205,,40.13990944,90.8419,2300.88162
442.3974792,"1,198.0",426.313,37.92014441,,,39.6165,1155.30505,96.3561,,,1767.02233,364.1015536,,28.8155,25.139,,,382.7165,432.8977725,737.2581,2795.893772,,289.2911,,61.2183,448.9527707,331.3130333,,28.25375021,,3823.5401
224.1020964,779.7,333.1572763,55.3815,,,48.9373,,63.0519,,,1343.03336,43.97122965,4.8633,,,,75.3459937,,,149.2493046,1593.971559,66.797,,,14.7341,,187.0367,,28.94368415,32.8502,2681.738482
162.6909261,453.7,,105.7615417,,25.4934,76.0824,604.4088,,,30.1343,473.7192118,32.1749,,,46.3077,,,,32.38146566,590.2827195,699.8711842,121.6252609,,,0,1971.1186,,,,,71.3663
197.4124821,465.3,,,,,55.5249,,113.229,,54.23323199,304.3152,,,51.7013,433.475,,76.7031,122.4751,27.9936,,743.6615142,,,,38.80191524,114.0326,,,15.6582,3519.693356,250.8764461
342.4109038,443.3,,,,,91.5414,,,,,1939.963479,21.0368,0.657,,285.8316535,,63.0376,154.0589,,1517.6276,693.0162703,56.09655171,,,,62.1795,151.5977,,26.0054,4381.396616,828.2806427
314.2988632,"1,169.0",,,,,56.1742,,,,,450.639,31.9047,,,,,78.6707,68.9679,,2232.8035,77.8449,0.0712,,,51.7215,,98.85707518,0.1113,266.7306,5539.767221,474.7021
21.87411202,502.5,,55.14198315,,73.9074,,,,,,,,5.6478,,,,43.47300245,107.0075,37.0138,,160.2188751,,115.7279,,,,,,,,58.0851
128.2214879,390.7,,253.4473,,173.2681,,,88.7928,,,58.8438,115.3754,1524.4118,,,,407.7347,19.4951,15.16033715,,79.20638765,31.5783,,,57.44961204,,,,,921.1759,100.7051
37.40982595,886.9,,64.9656,,,,,,,,173.9774,205.5963658,1.0238,,,,69.3087,,,,61.9756,,,,,,,,3.9897,,541.4576126
19.45156445,264.1,,57.32987756,,,,,,,,28.9375,29.8087,,,20.5059,,83.72265594,,,,,33.4983,,,,,,,,,329.744
72.40780618,"1,281.1",,241.8133,,,63.0481,,,,,,207.1188,,,,,79.5002,,,,39.0199,,,,,,259.2781855,,,,1282.4557
70.19970166,630.6,,66.5257,,27.3668,,,64.7669,,,,1100.9898,,,,,22.1298,,,,46.1547,,,,,,,,,,778.0573497
